code,name,type
EDUC20082,Indigenous Education in Community,Subject
ACCT90015,Legal Issues for Business,Subject
MAST30021,Complex Analysis,Requisites apply | Subject
MUSI20074,Brass Ensemble 2,Subject
LAWS90147,Biodiversity Law,Quotas apply | Subject
ABPL90415,Advanced Asset Strategy Applications,Requisites apply | Subject
EVSC90020,Environmental Modelling,Requisites apply | Subject
LAWS70008,Corporate Tax B,Quotas apply | Requisites apply | Subject
ENGL20036,Theatre Histories,Subject
MGMT90014,HRM in the New World of Work,Subject
HLTH90011,Research Project in Human Genomics 1,Requisites apply | Subject
LAWS70365,International Migration Law,Quotas apply | Subject
ABPL90075,Urban and Landscape Heritage,Subject
GEOG90025,East Timor Field Class,Quotas apply | Overseas | Subject
BIOM30002,Biomedicine: Molecule to Malady,Requisites apply | Subject
JAPN40001,Honours Japanese A,Requisites apply | Subject
DRAM90016,Industry Internships and Placements,Overseas | Subject
MAST30032,Biological Modelling and Simulation,Requisites apply | Subject
EDUC91113,Learning Area Physical Education 1,Subject
DENT90114,Structure and Function in Dentistry,Subject
ACCT10001,Accounting Reports and Analysis,Quotas apply | Subject
FRST90017,Bushfire Planning & Management,Subject
ERTH90060,Spatial Data Analytics and Geoprocessing,Subject
EDUC91092,Engaging and Assessing Learners (Sec) 1,Requisites apply | Subject
DPSS30009,Production Practice 3 - Part B,Requisites apply | Subject
BLAW30002,Taxation Law I,Requisites apply | Subject
FLTV90017,Screen Language 2,Subject
ABPL90397,MSD Minor Thesis Part 2,Requisites apply | Subject
MEDS90036,MD Research Skills,Requisites apply | Subject
NURS90162,Intensive Care Nursing Practice 2,Requisites apply | Subject
CVEN90048,Transport Systems,Subject
PHIL30007,The Philosophy of Philosophy,Requisites apply | Subject
ENGL40018,Don Juan: Our Contemporary,Subject
EDUC91306,Learning Area Mathematics Additional 2,Requisites apply | Subject
LAWS70273,Entertainment Law,Quotas apply | Subject
MGMT20006,Managing the Multinational,Requisites apply | Subject
PSYT90023,Ethics of Psychiatry,Subject
EDUC10058,Playing in a Band: Music & Young People,Quotas apply | Subject
NURS90088,Paediatric Nursing,Requisites apply | Subject
EURO30002,Memory & Memoirs of 20th Century Europe,Subject
VETS40021,Vet Bioscience Research Project Part 2,Subject
LAWS90272,International Development Finance Law,Quotas apply | Subject
PSYC90124,Principles of consulting,Requisites apply | Subject
GEOG90010,Geography Research Project,Subject
ABPL90134,Planning Theory and History,Subject
ATOC90022,Climate Science Industry Project Pt 1,Requisites apply | Subject
EDUC91137,Learning Area Languages 2,Requisites apply | Subject
CRIM90019,Advances in Criminological Research,Subject
FLTV70047,Major Screenwriting Project,Requisites apply | Subject
BMSC90038,Research Project B (SBS) Part 2,Requisites apply | Subject
ENGL20022,Modernism and Avant Garde,Subject
FLTV30021,Collaborative Production,Requisites apply | Subject
AMGT90001,Principles of Arts Management,Requisites apply | Subject
VETS30032,Animal Production Systems 2,Requisites apply | Subject
LAWS50070,Encounters: Meeting of Laws in Australia,Quotas apply | Requisites apply | Subject
DENT90111,Dental Procedural Skills 1,Subject
DRAM30032,Professional Practice Acting 2,Requisites apply | Subject
EDUC91108,Learning Area Legal Studies 1,Subject
PSYC90102,Attitude and Behaviour Change,Subject
SCWK90062,The Art of Narrative Practice,Requisites apply | Subject
ECON90011,Monetary Economics,Requisites apply | Subject
INDG90001,Working in Indigenous Cultural Contexts,Subject
MGMT90208,Sustainable Business Practices,Subject
SCWK90054,Assessing Risk and Vulnerability,Subject
AUDI90055,Professionalism and Clinical Processes A,Requisites apply | Subject
FLTV10017,Animation History and Research,Subject
ABPL90153,Complex Building Energy Modelling,Quotas apply | Requisites apply | Subject
DNCE20038,Global Atelier: Travelling Studio,Requisites apply | Overseas | Subject
EDUC91310,Learning Area English Additional (SI) 3,Requisites apply | Subject
EVSC90014,Environmental Risk Assessment,Subject
MUSI30276,ANAM Ensembles 6,Requisites apply | Subject
VETS30030,Introduction to Professional Practice,Requisites apply | Subject
PADM90020,Media and Messaging,Subject
GEOG30023,Global Climate Change in Context,Quotas apply | Requisites apply | Subject
EDUC90903,Contemporary Education Debates,Requisites apply | Subject
MUSI40067,Honours Composition 1,Requisites apply | Subject
PUBL90023,Publishing and Communications Thesis Pt2,Requisites apply | Subject
POPH90292,M.Epidemiology Research Project - S,Requisites apply | Subject
ECON30009,Macroeconomics,Requisites apply | Subject
CWRI40018,Collaboration and the Unforeseen,Requisites apply | Subject
ARCH20003,Modern Architecture: MoMo to PoMo,Requisites apply | Subject
CRIM30001,Crime and Public Policy,Subject
FNCE90072,DRFS Research Report Part 2,Requisites apply | Subject
EDUC91071,Language & Literacy: Years 3 to 6 (ECP),Requisites apply | Subject
ECOM90026,Econometrics Research Report Part 1,Quotas apply | Requisites apply | Subject
MAST90059,Stochastic Calculus with Applications,Requisites apply | Subject
ELEN90068,Business of Telecommunications,Requisites apply | Subject
ENEN90029,Water and Waste Water Management,Subject
ABPL90086,Environmental Systems,Subject
LING40013,Methods in Sociolinguistic Research,Subject
